<http://www.openlinksw.com/schemas/virtrdf#qmObjectMap>,2
<http://www.openlinksw.com/schemas/virtrdf#qmTableName>,2
<http://www.openlinksw.com/schemas/virtrdf#qmMatchingFlags>,2
<http://www.openlinksw.com/schemas/virtrdf#qmvTableName>,8
<http://www.openlinksw.com/schemas/virtrdf#qmvATables>,8
<http://www.openlinksw.com/schemas/virtrdf#qmvColumns>,8
<http://www.openlinksw.com/schemas/virtrdf#qmvFormat>,8
<http://www.openlinksw.com/schemas/virtrdf#qmvColumnsFormKey>,8
<http://www.openlinksw.com/schemas/virtrdf#qmvcAlias>,8
<http://www.openlinksw.com/schemas/virtrdf#qmvcColumnName>,8
<http://www.openlinksw.com/schemas/virtrdf#qmvFText>,2
<http://www.openlinksw.com/schemas/virtrdf#qmvGeo>,2
<http://www.openlinksw.com/schemas/virtrdf#qmvaAlias>,2
<http://www.openlinksw.com/schemas/virtrdf#qmvaTableName>,2
<http://www.openlinksw.com/schemas/virtrdf#qmvftColumnName>,4
<http://www.openlinksw.com/schemas/virtrdf#qmvftXmlIndex>,3
<http://www.openlinksw.com/schemas/virtrdf#qmvftAlias>,2
<http://www.openlinksw.com/schemas/virtrdf#qmvftConds>,2
<http://www.openlinksw.com/schemas/virtrdf#qmvftTableName>,2
<http://www.openlinksw.com/schemas/virtrdf#qsUserMaps>,3
<http://www.openlinksw.com/schemas/virtrdf#qsDefaultMap>,2
<http://www.openlinksw.com/schemas/virtrdf#qsMatchingFlags>,2
<http://www.w3.org/2000/01/rdf-schema#subPropertyOf>,2529
<http://www.w3.org/2002/07/owl#equivalentClass>,570058
<http://www.w3.org/2002/07/owl#equivalentProperty>,728
<http://www.w3.org/2002/07/owl#inverseOf>,5
<http://purl.org/dc/terms/created>,1971
<http://purl.org/dc/terms/modified>,1973
<http://www.openlinksw.com/schemas/DAV#ownerUser>,1971
<http://purl.org/dc/terms/extent>,2235
<http://www.w3.org/2000/01/rdf-schema#label>,122269732
<http://www.w3.org/1999/02/22-rdf-syntax-ns#first>,6
<http://www.w3.org/2002/07/owl#complementOf>,15095
<http://www.w3.org/1999/02/22-rdf-syntax-ns#rest>,6
<http://www.w3.org/2002/07/owl#unionOf>,2
<http://www.w3.org/2000/01/rdf-schema#domain>,5884
<http://www.w3.org/2000/01/rdf-schema#range>,6053
<http://www.w3.org/2002/07/owl#imports>,2
<http://www.w3.org/2000/01/rdf-schema#isDefinedBy>,90041
<http://www.w3.org/2000/01/rdf-schema#comment>,12873766
<http://www.w3.org/2002/07/owl#versionInfo>,3
<http://www.w3.org/2002/07/owl#priorVersion>,1
<http://www.w3.org/2002/07/owl#disjointWith>,173
<http://www.w3.org/2002/07/owl#differentFrom>,57623
<http://www.w3.org/2002/07/owl#onProperty>,43144
<http://www.w3.org/2002/07/owl#someValuesFrom>,43144
<http://www.w3.org/2000/01/rdf-schema#seeAlso>,8759947
<http://www.w3.org/2002/07/owl#sameAs>,33624480
<http://www.w3.org/2000/01/rdf-schema#subClassOf>,1191946
<http://www.w3.org/ns/sparql-service-description#endpoint>,1
<http://www.w3.org/ns/sparql-service-description#feature>,2
<http://www.w3.org/ns/sparql-service-description#resultFormat>,8
<http://www.w3.org/ns/sparql-service-description#supportedLanguage>,1
<http://www.w3.org/ns/sparql-service-description#url>,1
<http://dbpedia.org/ontology/deathPlace>,406619
<http://dbpedia.org/property/deathPlace>,63072
<http://dbpedia.org/ontology/deathDate>,721196
<http://dbpedia.org/property/death>,1843
<http://dbpedia.org/ontology/birthPlace>,1330295
<http://dbpedia.org/property/birthPlace>,134246
<http://dbpedia.org/ontology/birthDate>,1740611
<http://dbpedia.org/property/birth>,1403
<http://purl.org/dc/terms/subject>,23990492
<http://dbpedia.org/ontology/wikiPageID>,15797808
<http://dbpedia.org/ontology/wikiPageRevisionID>,15797808
<http://dbpedia.org/ontology/wikiPageWikiLink>,183605536
<http://dbpedia.org/ontology/wikiPageExternalLink>,7772273
<http://dbpedia.org/property/reference>,25416
<http://dbpedia.org/ontology/wikiPageRedirects>,7632357
<http://dbpedia.org/property/redirect>,2
<http://dbpedia.org/ontology/wikiPageDisambiguates>,1537180
<http://www.wikidata.org/entity/P1017s>,14569
<http://www.wikidata.org/entity/P1017v>,14569
<http://www.wikidata.org/entity/P1027s>,1341
<http://www.wikidata.org/entity/P1027v>,1341
<http://www.wikidata.org/entity/P102s>,201322
<http://www.wikidata.org/entity/P102v>,200390
<http://www.wikidata.org/entity/P1040s>,10753
<http://www.wikidata.org/entity/P1040v>,10753
<http://www.wikidata.org/entity/P1045s>,14741
<http://www.wikidata.org/entity/P1045v>,14740
<http://www.wikidata.org/entity/P1071s>,1531
<http://www.wikidata.org/entity/P1071v>,1530
<http://www.wikidata.org/entity/P1104s>,4890
<http://www.wikidata.org/entity/P1104v>,4889
<http://www.wikidata.org/entity/P1149s>,504
<http://www.wikidata.org/entity/P1149v>,504
<http://www.wikidata.org/entity/P1192s>,3667
<http://www.wikidata.org/entity/P1192v>,3667
<http://www.wikidata.org/entity/P119s>,41981
<http://www.wikidata.org/entity/P119v>,41973
<http://www.wikidata.org/entity/P1207s>,17978
<http://www.wikidata.org/entity/P1207v>,17978
<http://www.wikidata.org/entity/P1248s>,1598
<http://www.wikidata.org/entity/P1248v>,1598
<http://www.wikidata.org/entity/P1269s>,12214
<http://www.wikidata.org/entity/P1269v>,12214
<http://www.wikidata.org/entity/P1292s>,105
